rank,stage,hostile_rank,source,openalex_id,arxiv_id,doi,title,year,venue,authors,url,cited_by_count,relevance_score,cluster,query_hits,abstract,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,hostile_100+deep_225+serious_300+landscape_1000,1,OpenAlex,https://openalex.org/W2490090381,,10.1177/0278364917739114,FFRob: Leveraging symbolic planning for efficient task and motion planning,2017,The International Journal of Robotics Research,Caelan Reed Garrett; Tomas LozanoPerez; Leslie Pack Kaelbling,https://doi.org/10.1177/0278364917739114,136,47.272,sampling-based TAMP,FFRob Leveraging Symbolic Planning for Efficient Task and Motion Planning | FFRob symbolic geometric planning,"Mobile manipulation problems involving many objects are challenging to solve due to the high dimensionality and multi-modality of their hybrid configuration spaces. Planners that perform a purely geometric search are prohibitively slow for solving these problems because they are unable to factor the configuration space. Symbolic task planners can efficiently construct plans involving many variables but cannot represent the geometric and kinematic constraints required in manipulation. We present the FFRob algorithm for solving task and motion planning problems. First, we introduce extended action specification (EAS) as a general purpose planning representation that supports arbitrary predicates as conditions. We adapt existing heuristic search ideas for solving strips planning problems, particularly delete-relaxations, to solve EAS problem instances. We then apply the EAS representation and planners to manipulation problems resulting in FFRob. FFRob iteratively discretizes task and motion planning problems using batch sampling of manipulation primitives and a multi-query roadmap structure that can be conditionalized to evaluate reachability under different placements of movable objects. This structure enables the EAS planner to efficiently compute heuristics that incorporate geometric and kinematic planning constraints to give a tight estimate of the distance to the goal. Additionally, we show FFRob is probabilistically complete and has a finite expected runtime. Finally, we empirically demonstrate FFRobs effectiveness on complex and diverse task and motion planning tasks including rearrangement planning and navigation among movable objects.",How to solve sampling-based TAMP problems for robot or embodied agents under long-horizon constraints.,"Couples symbolic action search to black-box continuous samplers, often by optimistic streams or sampled geometric certificates.",Symbolic predicates are meaningful; sampled feasibility is an adequate proxy; a single linear skeleton can be repaired by more sampling.,"Action vocabulary, stream interfaces, object identities, geometry model, and success/failure semantics.",Observation-triggered branch timing; irreversible physical side effects; guard variables that are cheap to test before commitment.,Simple integration of symbolic planners and motion samplers; optimistic linear skeleton search.,A compact representation of multiple physically conditioned skeletons without enumerating full belief policies.
2,hostile_100+deep_225+serious_300+landscape_1000,2,OpenAlex,https://openalex.org/W2070683816,,10.1177/0278364913484072,Integrated task and motion planning in belief space,2013,The International Journal of Robotics Research,Leslie Pack Kaelbling; Tomas LozanoPerez,https://doi.org/10.1177/0278364913484072,334,45.903,belief-space and uncertain planning,Integrated Task and Motion Planning in Belief Space | integrated task and motion planning manipulation | task and motion planning robotics,"We describe an integrated strategy for planning, perception, state estimation and action in complex mobile manipulation domains based on planning in the belief space of probability distributions over states using hierarchical goal regression (pre-image back-chaining). We develop a vocabulary of logical expressions that describe sets of belief states, which are goals and subgoals in the planning process. We show that a relatively small set of symbolic operators can give rise to task-oriented perception in support of the manipulation goals. An implementation of this method is demonstrated in simulation and on a real PR2 robot, showing robust, flexible solution of mobile manipulation problems with multiple objects and substantial uncertainty.",How to solve belief-space and uncertain planning problems for robot or embodied agents under long-horizon constraints.,"Plans in belief or information space, often optimizing expected cost or chance constraints.",Probabilistic models are calibrated and solving the belief policy is tractable for the horizon.,"Prior distributions, observation likelihoods, utility model, and state estimator.",Deterministic but latent physical regimes that can be handled by cheap guard tests instead of full belief optimization.,Probabilistic formulations of uncertainty-aware TAMP.,Non-probabilistic guard coverage and compact branch sharing for long-horizon physical tasks.
3,hostile_100+deep_225+serious_300+landscape_1000,3,OpenAlex,https://openalex.org/W2403069916,,,Logic-geometric programming: an optimization-based approach to combined task and motion planning,2015,,Marc Toussaint,http://ipvs.informatik.uni-stuttgart.de/mlr/papers/15-toussaint-IJCAI.pdf,186,44.17,optimization / geometric-constraint TAMP,Logic-Geometric Programming An Optimization-Based Approach to Combined Task and Motion Planning | conditional planning robotics manipulation | logic geometric programming robot planning | task and motion planning robotics,"We consider problems of sequential robot manipulation (aka. combined task and motion planning) where the objective is primarily given in terms of a cost function over the final geometric state, rather than a symbolic goal description. In this case we should leverage optimization methods to inform search over potential action sequences. We propose to formulate the problem holistically as a 1st- order logic extension of a mathematical program: a non-linear constrained program over the full world trajectory where the symbolic state-action sequence defines the (in-)equality constraints. We tackle the challenge of solving such programs by proposing three levels of approximation: The coarsest level introduces the concept of the effective end state kinematics, parametrically describing all possible end state configurations conditional to a given symbolic action sequence. Optimization on this level is fast and can inform symbolic search. The other two levels optimize over interaction keyframes and eventually over the full world trajectory across interactions. We demonstrate the approach on a problem of maximizing the height of a physically stable construction from an assortment of boards, cylinders and blocks.",How to solve optimization / geometric-constraint TAMP problems for robot or embodied agents under long-horizon constraints.,Optimizes continuous trajectories under logical/geometric constraints induced by a task sequence or switching structure.,The relevant mode sequence or constraint family can be committed to early enough for nonlinear optimization.,"Contact modes, constraint graph, objective weights, and observability of feasibility conditions.",Discrete physical branches that should alter the high-level skeleton before failure.,Optimization over hybrid mode sequences and constraint-consistent trajectories.,Guarded sharing among alternative mode sequences driven by measurable branch conditions.
4,hostile_100+deep_225+serious_300+landscape_1000,4,OpenAlex,https://openalex.org/W4286908702,,10.48550/arxiv.2110.03420,RHH-LGP: Receding Horizon And Heuristics-Based Logic-Geometric Programming For Task And Motion Planning,2021,arXiv (Cornell University),Cornelius V. Braun; Joaquim Ortiz-Haro; Marc Toussaint; Ozgur S. Oguz,http://arxiv.org/abs/2110.03420,16,42.533,optimization / geometric-constraint TAMP,FFRob Leveraging Symbolic Planning for Efficient Task and Motion Planning | FFRob symbolic geometric planning | Logic-Geometric Programming An Optimization-Based Approach to Combined Task and Motion Planning | TAMP robot manipulation planning | logic geometric programming robot planning | long horizon robot manipulation planning | robot rearrangement planning long horizon,"Sequential decision-making and motion planning for robotic manipulation induce combinatorial complexity. For long-horizon tasks, especially when the environment comprises many objects that can be interacted with, planning efficiency becomes even more important. To plan such long-horizon tasks, we present the RHH-LGP algorithm for combined task and motion planning (TAMP). First, we propose a TAMP approach (based on Logic-Geometric Programming) that effectively uses geometry-based heuristics for solving long-horizon manipulation tasks. The efficiency of this planner is then further improved by a receding horizon formulation, resulting in RHH-LGP. We demonstrate the robustness and effectiveness of our approach on a diverse range of long-horizon tasks that require reasoning about interactions with a large number of objects. Using our framework, we can solve tasks that require multiple robots, including a mobile robot and snake-like walking robots, to form novel heterogeneous kinematic structures autonomously. By combining geometry-based heuristics with iterative planning, our approach brings an order-of-magnitude reduction of planning time in all investigated problems.",How to solve optimization / geometric-constraint TAMP problems for robot or embodied agents under long-horizon constraints.,Optimizes continuous trajectories under logical/geometric constraints induced by a task sequence or switching structure.,The relevant mode sequence or constraint family can be committed to early enough for nonlinear optimization.,"Contact modes, constraint graph, objective weights, and observability of feasibility conditions.",Discrete physical branches that should alter the high-level skeleton before failure.,Optimization over hybrid mode sequences and constraint-consistent trajectories.,Guarded sharing among alternative mode sequences driven by measurable branch conditions.
5,hostile_100+deep_225+serious_300+landscape_1000,5,OpenAlex,https://openalex.org/W3001865277,,10.1609/icaps.v30i1.6739,PDDLStream: Integrating Symbolic Planners and Blackbox Samplers via Optimistic Adaptive Planning,2020,Proceedings of the International Conference on Automated Planning and Scheduling,Caelan Reed Garrett; Tomas LozanoPerez; Leslie Pack Kaelbling,https://doi.org/10.1609/icaps.v30i1.6739,175,41.273,sampling-based TAMP,FFRob Leveraging Symbolic Planning for Efficient Task and Motion Planning | FFRob symbolic geometric planning | Hierarchical Task and Motion Planning in the Now | Logic-Geometric Programming An Optimization-Based Approach to Combined Task and Motion Planning | PDDLStream Integrating Symbolic Planners and Blackbox Samplers | PDDLStream robotics planning | conditional planning robotics manipulation | logic geometric programming robot planning | stream based task and motion planning | task and motion planning robotics,"Many planning applications involve complex relationships defined on high-dimensional, continuous variables. For example, robotic manipulation requires planning with kinematic, collision, visibility, and motion constraints involving robot configurations, object poses, and robot trajectories. These constraints typically require specialized procedures to sample satisfying values. We extend PDDL to support a generic, declarative specification for these procedures that treats their implementation as black boxes. We provide domain-independent algorithms that reduce PDDLStream problems to a sequence of finite PDDL problems. We also introduce an algorithm that dynamically balances exploring new candidate plans and exploiting existing ones. This enables the algorithm to greedily search the space of parameter bindings to more quickly solve tightly-constrained problems as well as locally optimize to produce low-cost solutions. We evaluate our algorithms on three simulated robotic planning domains as well as several real-world robotic tasks.",How to solve sampling-based TAMP problems for robot or embodied agents under long-horizon constraints.,"Couples symbolic action search to black-box continuous samplers, often by optimistic streams or sampled geometric certificates.",Symbolic predicates are meaningful; sampled feasibility is an adequate proxy; a single linear skeleton can be repaired by more sampling.,"Action vocabulary, stream interfaces, object identities, geometry model, and success/failure semantics.",Observation-triggered branch timing; irreversible physical side effects; guard variables that are cheap to test before commitment.,Simple integration of symbolic planners and motion samplers; optimistic linear skeleton search.,A compact representation of multiple physically conditioned skeletons without enumerating full belief policies.
6,hostile_100+deep_225+serious_300+landscape_1000,6,OpenAlex,https://openalex.org/W3145123113,,10.1201/9780429489105,Behavior Trees in Robotics and AI,2018,,Michele Colledanchise; Petter Ogren,https://doi.org/10.1201/9780429489105,466,41.034,behavior trees and reactive execution,Behavior Trees in Robotics and AI An Introduction,"A Behavior Tree (BT) is a way to structure the switching between different tasks in an autonomous agent, such as a robot or a virtual entity in a computer game. BTs are a very efficient way of creating complex systems that are both modular and reactive. These properties are crucial in many applications, which has led to the spread of BT from computer game programming to many branches of AI and Robotics. In this book, we will first give an introduction to BTs, then we describe how BTs relate to, and in many cases generalize, earlier switching structures. These ideas are then used as a foundation for a set of efficient and easy to use design principles. Properties such as safety, robustness, and efficiency are important for an autonomous system, and we describe a set of tools for formally analyzing these using a state space description of BTs. With the new analysis tools, we can formalize the descriptions of how BTs generalize earlier approaches. We also show the use of BTs in automated planning and machine learning. Finally, we describe an extended set of tools to capture the behavior of Stochastic BTs, where the outcomes of actions are described by probabilities. These tools enable the computation of both success probabilities and time to completion.",How to solve behavior trees and reactive execution problems for robot or embodied agents under long-horizon constraints.,"Composes fallback, sequence, and condition nodes to execute reactive robot behaviors.",The tree structure and condition placement are supplied or locally learned rather than synthesized from TAMP alternatives. Learned components are assumed to generalize over the branch regimes considered.,"Node library, condition tests, fallback order, and recovery semantics.",Global sharing and dominance among many long-horizon alternatives; geometric proof obligations.,Reactive fallbacks and runtime condition checks as a representation pattern.,Automatic compilation of physical contingency skeletons from candidate task-motion plans.
7,hostile_100+deep_225+serious_300+landscape_1000,7,OpenAlex,https://openalex.org/W3169676024,,10.1109/tro.2022.3198020,Long-Horizon Multi-Robot Rearrangement Planning for Construction Assembly,2022,IEEE Transactions on Robotics,Valentin N. Hartmann; Andreas Orthey; Danny Driess; Ozgur S. Oguz; Marc Toussaint,https://doi.org/10.1109/tro.2022.3198020,87,40.964,long-horizon manipulation and rearrangement,TAMP robot manipulation planning | long horizon robot manipulation planning | robot rearrangement planning long horizon | task and motion planning robotics,"Robotic construction assembly planning aims to find feasible assembly sequences as well as the corresponding robot-paths and can be seen as a special case of task and motion planning (TAMP). As construction assembly can well be parallelized, it is desirable to plan for multiple robots acting concurrently. Solving TAMP instances with many robots and over a long time-horizon is challenging due to coordination constraints, and the difficulty of choosing the right task assignment. We present a planning system which enables parallelization of complex task and motion planning problems by iteratively solving smaller subproblems. Combining optimization methods to jointly solve for manipulation constraints with a sampling-based bi-directional space-time path planner enables us to plan cooperative multi-robot manipulation with unknown arrival-times. Thus, our solver allows for completing subproblems and tasks with differing timescales and synchronizes them effectively. We demonstrate the approach on multiple construction case-studies to show the robustness over long planning horizons and scalability to many objects and agents. Finally, we also demonstrate the execution of the computed plans on two robot arms to showcase the feasibility in the real world.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
8,hostile_100+deep_225+serious_300+landscape_1000,8,OpenAlex,https://openalex.org/W2788724561,,,STRIPStream: Integrating Symbolic Planners and Blackbox Samplers,2018,arXiv (Cornell University),Caelan Reed Garrett; Tomas LozanoPerez; Leslie Pack Kaelbling,https://arxiv.org/pdf/1802.08705.pdf,11,40.376,sampling-based TAMP,STRIPStream Integrating Symbolic Planners and Blackbox Samplers | STRIPStream task motion planning,"Many planning applications involve complex relationships defined on high-dimensional, continuous variables. For example, robotic manipulation requires planning with kinematic, collision, and motion constraints involving robot configurations, object transforms, and robot trajectories. These constraints typically require specialized procedures to sample satisfying values. We extend the STRIPS planning language to support a generic, declarative specification for these procedures while treating their implementation as blackboxes. We provide several domain-independent algorithms that reduce STRIPStream problems to a sequence of finite-domain STRIPS planning problems. Additionally, we describe cost-sensitive planning within this framework. Finally, we evaluate our algorithms on three robotic task and motion planning domains.",How to solve sampling-based TAMP problems for robot or embodied agents under long-horizon constraints.,"Couples symbolic action search to black-box continuous samplers, often by optimistic streams or sampled geometric certificates.",Symbolic predicates are meaningful; sampled feasibility is an adequate proxy; a single linear skeleton can be repaired by more sampling.,"Action vocabulary, stream interfaces, object identities, geometry model, and success/failure semantics.",Observation-triggered branch timing; irreversible physical side effects; guard variables that are cheap to test before commitment.,Simple integration of symbolic planners and motion samplers; optimistic linear skeleton search.,A compact representation of multiple physically conditioned skeletons without enumerating full belief policies.
9,hostile_100+deep_225+serious_300+landscape_1000,9,OpenAlex,https://openalex.org/W3207196785,,10.48550/arxiv.2103.05456,Extended Tree Search for Robot Task and Motion Planning,2021,arXiv (Cornell University),Tianyu Ren; Georgia Chalvatzaki; Jan Peters,http://arxiv.org/abs/2103.05456,11,39.976,sampling-based TAMP,FFRob Leveraging Symbolic Planning for Efficient Task and Motion Planning | FFRob symbolic geometric planning | Logic-Geometric Programming An Optimization-Based Approach to Combined Task and Motion Planning | PDDLStream Integrating Symbolic Planners and Blackbox Samplers | PDDLStream robotics planning | STRIPStream Integrating Symbolic Planners and Blackbox Samplers | STRIPStream task motion planning | TAMP robot manipulation planning | integrated task and motion planning manipulation | logic geometric programming robot planning | long horizon robot manipulation planning | stream based task and motion planning | task and motion planning robotics,"Integrated task and motion planning (TAMP) is desirable for generalized autonomy robots but it is challenging at the same time. TAMP requires the planner to not only search in both the large symbolic task space and the high-dimension motion space but also deal with the infeasible task actions due to its intrinsic hierarchical process. We propose a novel decision-making framework for TAMP by constructing an extended decision tree for both symbolic task planning and high-dimension motion variable binding. We integrate top-k planning for generating explicitly a skeleton space where a variety of candidate skeleton plans are at disposal. Moreover, we effectively combine this skeleton space with the resultant motion variable spaces into a single extended decision space. Accordingly, we use Monte-Carlo Tree Search (MCTS) to ensure an exploration-exploitation balance at each decision node and optimize globally to produce optimal solutions. The proposed seamless combination of symbolic top-k planning with streams, with the proved optimality of MCTS, leads to a powerful planning algorithm that can handle the combinatorial complexity of long-horizon manipulation tasks. We empirically evaluate our proposed algorithm in challenging robot tasks with different domains that require multi-stage decisions and show how our method can overcome the large task space and motion space through its effective tree search compared to its most competitive baseline method.",How to solve sampling-based TAMP problems for robot or embodied agents under long-horizon constraints.,"Couples symbolic action search to black-box continuous samplers, often by optimistic streams or sampled geometric certificates.",Symbolic predicates are meaningful; sampled feasibility is an adequate proxy; a single linear skeleton can be repaired by more sampling.,"Action vocabulary, stream interfaces, object identities, geometry model, and success/failure semantics.",Observation-triggered branch timing; irreversible physical side effects; guard variables that are cheap to test before commitment.,Simple integration of symbolic planners and motion samplers; optimistic linear skeleton search.,A compact representation of multiple physically conditioned skeletons without enumerating full belief policies.
10,hostile_100+deep_225+serious_300+landscape_1000,10,OpenAlex,https://openalex.org/W3011316078,,10.1109/iros45743.2020.9341502,Robust Task and Motion Planning for Long-Horizon Architectural Construction Planning,2020,,Valentin N. Hartmann; Ozgur S. Oguz; Danny Driess; Marc Toussaint; Achim Menges,https://doi.org/10.1109/iros45743.2020.9341502,34,39.889,optimization / geometric-constraint TAMP,logic geometric programming robot planning,"Integrating robotic systems in architectural and construction processes is of core interest to increase the efficiency of the building industry. Automated planning for such systems enables design analysis tools and facilitates faster design iteration cycles for designers and engineers. However, generic task-and-motion planning (TAMP) for long-horizon construction processes is beyond the capabilities of current approaches. In this paper, we develop a multi-agent TAMP framework for long horizon problems such as constructing a full-scale building. To this end we extend the Logic-Geometric Programming framework by sampling-based motion planning, a limited horizon approach, and a task-specific structural stability optimization that allow an effective decomposition of the task. We show that our framework is capable of constructing a large pavilion built from several hundred geometrically unique building elements from start to end autonomously.",How to solve optimization / geometric-constraint TAMP problems for robot or embodied agents under long-horizon constraints.,Optimizes continuous trajectories under logical/geometric constraints induced by a task sequence or switching structure.,The relevant mode sequence or constraint family can be committed to early enough for nonlinear optimization.,"Contact modes, constraint graph, objective weights, and observability of feasibility conditions.",Discrete physical branches that should alter the high-level skeleton before failure.,Optimization over hybrid mode sequences and constraint-consistent trajectories.,Guarded sharing among alternative mode sequences driven by measurable branch conditions.
